SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCF_013461495.1_Bfra_R1V1,Botrytis fragariae,BVB16,PRJNA627915,1964551,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis fragariae,fBfra
GCA_004916875.1_ASM491687v1,Botrytis galanthina,MUCL435,PRJNA401386,278940,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis galanthina,fBTUL
GCA_004786245.1_ASM478624v1,Botrytis hyacinthi,Bh0001,PRJNA401386,278943,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis hyacinthi,fBTUL
GCA_019395255.1_ASM1939525v1,Botrytis medusae,B555,PRJNA692037,2499830,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis medusae,fFUN388
GCA_004786145.1_ASM478614v1,Botrytis paeoniae,Bp0003,PRJNA401386,278948,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis paeoniae,fBTUL
GCF_014898465.1_ASM1489846v1,Botrytis porri,MUCL 3234,PRJNA494516,87229,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis porri,fEAF04
GCA_019395245.1_ASM1939524v1,Botrytis pseudocinerea,BP362,PRJNA692037,1005963,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis pseudocinerea,fFUN389
GCF_014898435.1_ASM1489843v1,Botrytis sinoallii,Bc 23,PRJNA494516,1463999,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis sinoallii,fEAF04
GCA_014898485.2_BOTSQU_2,Botrytis squamosa,MUCL 31421,PRJNA494516,139640,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis squamosa,fEAF04
GCA_004786125.1_ASM478612v1,Botrytis tulipae,Bt9001,PRJNA401386,87230,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis tulipae,fBTUL
GCA_029302275.1_ASM2930227v1,Brachybasidiaceae sp.,CTeuk-1727,PRJNA810309,2011979,dikarya,Basidiomycota,,Exobasidiomycetes,,Exobasidiales,Brachybasidiaceae,,Brachybasidiaceae sp.,fFUN390
GCA_038089195.1_TH10115-Tylopilus-rufonigricans,Brasilioporus rufonigricans,G4407,PRJNA1022813,279520,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Brasilioporus,Brasilioporus rufonigricans,fFUN391
GCA_001754015.1_ASM175401v1,Brettanomyces anomalus,CBS 7654,PRJNA335567,37662,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces anomalus,fFUN392
GCF_011074885.1_ASM1107488v2,Brettanomyces bruxellensis,UCD 2041,PRJNA554210,5007,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces bruxellensis,fFOA45
GCA_012295335.1_ASM1229533v1,Brettanomyces custersianus,CRL-53,PRJNA592329,13368,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces custersianus,fFUN393
GCA_012295355.1_ASM1229535v1,Brettanomyces naardenensis,CRL-65,PRJNA592329,13370,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces naardenensis,fFUN394
GCF_011074865.1_ASM1107486v2,Brettanomyces nanus,CBS 1945,PRJNA554210,13502,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces nanus,fFOA45
GCA_016906875.1_ASM1690687v1,Brettanomyces sp. HC-2020a,kh3,PRJNA691989,2752591,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces sp. HC-2020a,fJKL38
GCA_002018255.1_ASM201825v1,Bretziella fagacearum,CMW 2656,PRJNA342331,1836592,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Bretziella,Bretziella fagacearum,fBHQ25
GCA_037952635.1_ASM3795263v1,Bryoglossum gracile,AWW 858,PRJNA873090,315200,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Bryoglossaceae,Bryoglossum,Bryoglossum gracile,fNZ311
GCA_964035675.1_gfBolQuer1.1,Buglossoporus quercinus,,PRJEB65737;PRJEB75399,1522478,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Fomitopsidaceae,Buglossoporus,Buglossoporus quercinus,fEC80566
GCA_001600095.1_JCM_2954_assembly_v001,Bullera alba,JCM 2954,PRJDB3685,157611,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Bulleraceae,Bullera,Bullera alba,fFUN395
GCA_038093555.1_KM172029-Butyriboletus-appendiculatus,Butyriboletus appendiculatus,KM172029,PRJNA1022813,182627,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Butyriboletus,Butyriboletus appendiculatus,fFUN396
GCA_038093775.1_DLT08-078-Butyriboletus-pseudospeciosus,Butyriboletus pseudospeciosus,TRTC157153,PRJNA1022813,1914049,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Butyriboletus,Butyriboletus pseudospeciosus,fFUN397
GCA_038093595.1_KM167115-Butyriboletus-regius,Butyriboletus regius,KM167115,PRJNA1022813,388852,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Butyriboletus,Butyriboletus regius,fFUN398
GCA_019364595.1_ASM1936459v1,Butyriboletus roseoflavus,LA02,PRJNA713307,1325616,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Butyriboletus,Butyriboletus roseoflavus,fJ3R82
GCA_002914405.1_ByssAF2.0,Byssochlamys sp. AF001,AF001,PRJNA427363,2066500,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Thermoascaceae,Paecilomyces,Byssochlamys sp. AF001,fC0M20
GCA_002242795.1_ASM224279v1,Byssochlamys sp. BYSS01,BYSS01,PRJNA390431,2059436,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Thermoascaceae,Paecilomyces,Byssochlamys sp. BYSS01,fCD929
GCA_001931875.2_ASM193187v2,Byssochlamys sp. IMV 00236,IMV 00236,PRJNA355122,2562441,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Thermoascaceae,Paecilomyces,Byssochlamys sp. IMV 00236,fBS093
GCA_001430925.1_ASM143092v1,Byssoonygena ceratinophila,UAMH 5669,PRJNA284880,166112,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Onygenaceae,Byssoonygena,Byssoonygena ceratinophila,fABT31
GCA_010015675.1_Bysci1,Byssothecium circinans,CBS 675.92,PRJNA239485,147558,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Massarinaceae,Byssothecium,Byssothecium circinans,fCC80
GCF_030347475.1_UMN_CgA_1,Cadophora gregata,MNR1,PRJNA896616,51156,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Cadophora,Cadophora gregata,fONS95
GCA_026120085.1_ASM2612008v1,Cadophora luteo-olivacea,CBS 128576,PRJNA827019,227289,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Cadophora,Cadophora luteo-olivacea,fFUN399
GCA_017365405.1_ASM1736540v1,Cadophora malorum,M34,PRJNA665147,108018,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Cadophora,Cadophora malorum,fIFR04
GCA_937872245.1_ERR868449_bin.23_CONCOCT_v1.1_MAG,Cadophora sp. DSE1049,,PRJEB51078;PRJEB51083,1485229,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Cadophora,Cadophora sp. DSE1049,fHMPREF9683
GCA_017366145.1_ASM1736614v1,Cadophora sp. M221,M221,PRJNA665148,2774352,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Cadophora,Cadophora sp. M221,fIFR05
GCA_027248405.1_ASM2724840v1,Caecomyces sp.,SIG737,PRJNA530070,2078661,fungi,Chytridiomycota,,Neocallimastigomycetes,,Neocallimastigales,Neocallimastigaceae,Caecomyces,Caecomyces sp.,fOMD10
GCA_026023835.1_ASM2602383v1,Caeruleum heppii,JK 8506/TS-e1937,PRJNA833438,2939410,dikarya,Ascomycota,,Lecanoromycetes,,Acarosporales,Acarosporaceae,Caeruleum,Caeruleum heppii,fOMP81
GCA_001625345.1_ASM162534v1,Cairneyella variabilis,VPRI 42388,PRJNA225634,1802957,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Cairneyella,Cairneyella variabilis,fU718
GCA_009828645.1_ASM982864v1,Calcarisporium arbuscula,NRRL 3705,PRJNA574730,240499,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,,Calcarisporium,Calcarisporium arbuscula,fF7235
GCA_003316085.1_ASM331608v1,Caloboletus calopus,MG23,PRJNA454572,141855,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Caloboletus,Caloboletus calopus,fFUN400
GCA_038094755.1_0297firmusRincon,Caloboletus firmus,UT-M0002074,PRJNA1022813,1282272,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Caloboletus,Caloboletus firmus,fFUN401
GCA_038092355.1_MICH10105-Ceriomyces-inedulis,Caloboletus inedulis,MICH10105,PRJNA1022813,1944132,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Caloboletus,Caloboletus inedulis,fFUN402
GCA_001632435.1_Calco1,Calocera cornea HHB12733,HHB12733,PRJNA210204,1353952,dikarya,Basidiomycota,,Dacrymycetes,,Dacrymycetales,Dacrymycetaceae,Calocera,Calocera cornea,fCALCO
GCA_001630345.1_Calvi1,Calocera viscosa TUFC12733,TUFC12733,PRJNA200620,1330018,dikarya,Basidiomycota,,Dacrymycetes,,Dacrymycetales,Dacrymycetaceae,Calocera,Calocera viscosa,fCALVI
GCA_018851305.1_ASM1885130v1,Calocybe cyanea,D48,PRJNA417766,181965,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Calocybe,Calocybe cyanea,fJYA90
GCA_900068965.1_C_gambosa-8,Calocybe gambosa,,PRJEB8570,56469,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Calocybe,Calocybe gambosa,fFUN403
GCA_018221785.1_ASM1822178v1,Calocybe gangraenosa,D65,PRJNA417766,2725000,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Calocybe,Calocybe gangraenosa,fJYA90
GCA_030407095.1_MWM_1,Calocybe indica,APK2,PRJNA927116,282373,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Calocybe,Calocybe indica,fM1WM
GCA_013406995.1_ASM1340699v1,Calonectria aciculata,CMW 47645,PRJNA562676,2064837,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria aciculata,fFUN404
GCA_013406985.1_ASM1340698v1,Calonectria crousiana,CMW 27249,PRJNA562676,1026984,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria crousiana,fFUN405
GCA_013406965.1_ASM1340696v1,Calonectria fujianensis,CMW 27257,PRJNA562676,1026983,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria fujianensis,fFUN406
GCA_020975415.1_ASM2097541v1,Calonectria hawksworthii,S6964,PRJNA747298,182849,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria hawksworthii,fKYT92
GCA_020623695.1_ASM2062369v1,Calonectria henricotiae,JAC13-131,PRJNA746327,1868870,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria henricotiae,fKXY47
GCA_013403855.1_ASM1340385v1,Calonectria honghensis,CMW 47669,PRJNA562676,2064838,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria honghensis,fFUN407
GCA_017140755.1_ASM1714075v1,Calonectria hongkongensis,CMW 47271,PRJNA602013,306887,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria hongkongensis,fFUN408
GCA_020809705.1_ASM2080970v1,Calonectria ilicicola,GDYJ169,PRJNA767210,182845,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria ilicicola,fLJY32
GCA_002179835.1_ASM217983v1,Calonectria leucothoes,CBS 109166,PRJNA377309,149392,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria leucothoes,fB4N95
GCA_022606435.1_ASM2260643v1,Calonectria montana,PCam007,PRJNA768650,2064830,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria montana,fLF613
GCA_020623665.1_ASM2062366v1,Calonectria multiphialidica,CBS 112678,PRJNA746327,306890,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria multiphialidica,fKXY47
GCA_003031705.1_ASM303170v1,Calonectria naviculata,CBS 101121,PRJNA377347,182846,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria naviculata,fB4N98
GCA_017140785.1_ASM1714078v1,Calonectria pauciramosa,CBS 138824,PRJNA602013,75811,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria pauciramosa,fFUN409
GCA_004380915.1_ASM438091v1,Calonectria pseudonaviculata,CBS 139395,PRJNA417078,196064,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria pseudonaviculata,fCT692
GCA_001879505.1_ASM187950v1,Calonectria pseudoreteaudii,YA51,PRJNA349207,707572,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria pseudoreteaudii,fBKY14
GCA_013403825.1_ASM1340382v1,Calonectria pseudoturangicola,CMW 47496,PRJNA562676,2064841,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria pseudoturangicola,fFUN410
GCA_022837005.1_ASM2283700v1,Calonectria pteridis,LPF059,PRJNA812993,40267,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Calonectria,Calonectria pteridis,fMMW22
GCA_023646655.1_KEW_Caeg,Caloplaca aegaea,LIQ143CAAG,PRJNA783777,520571,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Caloplaca,Caloplaca aegaea,fLQ352
GCA_023646255.1_KEW_Caet,Caloplaca aetnensis,LIQ82CAATT,PRJNA783777,520572,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Caloplaca,Caloplaca aetnensis,fLQ352
GCA_023645885.1_KEW_Clig,Caloplaca ligustica,LIQ85CALI,PRJNA783777,2905937,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Caloplaca,Caloplaca ligustica,fLQ352
GCA_025093985.1_ASM2509398v1,Calvatia gigantea,CGMCC 5.752,PRJNA640492,68762,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lycoperdaceae,Calvatia,Calvatia gigantea,fFUN411
GCA_019669825.1_Calmar1,Calycina marina,TRa3180A,PRJNA347008,1763456,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Pezizellaceae,Calycina,Calycina marina,fBJ878
GCA_022578605.1_CtCBS203_1,Camillea tinctor,CBS 203.56,PRJNA567204,110548,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Camillea,Camillea tinctor,fF4810
GCA_032357745.1_ASM3235774v1,Camptophora hylomeconis,CBS 113311,PRJNA868610,470456,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Chaetothyriaceae,Camptophora,Camptophora hylomeconis,fNVQ82
GCF_033297395.1_Thiar1,Canariomyces notabilis,CBS 508.74,PRJNA214268,2074819,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Canariomyces,Canariomyces notabilis,fN656
GCA_040285455.1_ASM4028545v1,Canariomyces subthermophilus,CS-A,PRJNA983573,2587388,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Canariomyces,Canariomyces subthermophilus,fFUN412
GCA_026023815.1_ASM2602381v1,Candelaria pacifica,Spribille 42405/TS-e1880,PRJNA833438,460848,dikarya,Ascomycota,,Candelariomycetes,,Candelariales,Candelariaceae,Candelaria,Candelaria pacifica,fOMP81
GCA_026023805.1_ASM2602380v1,Candelina mexicana,AC779/DDE408,PRJNA833438,460853,dikarya,Ascomycota,,Candelariomycetes,,Candelariales,Candelariaceae,Candelina,Candelina mexicana,fOMP81
GCA_026023795.1_ASM2602379v1,Candelina submexicana,AH-540/DDE406,PRJNA833438,460854,dikarya,Ascomycota,,Candelariomycetes,,Candelariales,Candelariaceae,Candelina,Candelina submexicana,fOMP81
GCA_019359905.1_Cafric_001,Candida africana,CEC4854,PRJNA432884,241526,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida africana,fGWM78
GCF_000182965.3_ASM18296v3,Candida albicans SC5314,SC5314,PRJNA10701,237561,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,fCAALFM
GCA_030579015.1_ASM3057901v1,Candida blackwelliae,CBS 10843,PRJNA736342,497110,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida blackwelliae,fFUN413
GCA_030582535.1_ASM3058253v1,Candida bohioensis,NRRL Y-27737,PRJNA736342,561986,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida bohioensis,fFUN414
GCA_030582575.1_ASM3058257v1,Candida buenavistaensis,NRRL Y-27734,PRJNA736342,434039,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida buenavistaensis,fFUN415
GCA_030557115.1_ASM3055711v1,Candida chauliodis,NRRL Y-27909,PRJNA736342,391825,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida chauliodis,fFUN416
GCA_030565325.1_ASM3056532v1,Candida coleopterorum,CBS 14180,PRJNA736342,1775925,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida coleopterorum,fFUN417
GCA_003706475.3_ASM370647v3,Candida corydali,NRRL Y-27910,PRJNA429441,391826,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida corydali,fFUN418
GCF_000026945.1_ASM2694v1,Candida dubliniensis CD36,CD36,PRJEA34697,573826,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida dubliniensis,fCD36
GCA_030557105.1_ASM3055710v1,Candida frijolesensis,NRRL Y-48060,PRJNA736342,434044,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida frijolesensis,fFUN419
GCA_030557085.1_ASM3055708v1,Candida gigantensis,NRRL Y-27736,PRJNA736342,271359,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida gigantensis,fFUN420
GCF_024610255.1_ASM2461025v1,Candida jiufengensis,CBS 10846,PRJNA726921,497108,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida jiufengensis,fKGF54
GCA_030572435.1_ASM3057243v1,Candida labiduridarum,NRRL Y-27940,PRJNA736342,434042,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida labiduridarum,fFUN421
GCA_030582995.1_ASM3058299v1,Candida maltosa,NRRL Y-17677,PRJNA736342,5479,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida maltosa,fFUN422
GCF_024628925.1_ASM2462892v1,Candida margitis,CBS 14175,PRJNA748886,1775924,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida margitis,fCANMA
GCA_017655625.1_BP57,Candida metapsilosis,BP57,PRJNA520893,273372,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida metapsilosis,fI9W82
GCA_030564645.1_ASM3056464v1,Candida morakotiae,NRRL Y-48708,PRJNA736342,560359,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida morakotiae,fFUN423
GCA_030557875.1_ASM3055787v1,Candida neerlandica,NRRL Y-27057,PRJNA736342,148634,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida neerlandica,fFUN424
GCF_000315875.1_ASM31587v1,Candida orthopsilosis Co 90-125,Co 90-125,PRJEA83665,1136231,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida orthopsilosis,fCORT
GCF_023343755.2_ASM2334375v2,Candida oxycetoniae,CBS 10844,PRJNA726927,497107,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida oxycetoniae,fKGF56
GCA_030585045.1_ASM3058504v1,Candida parablackwelliae,CBS 15228,PRJNA736342,2126718,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida parablackwelliae,fFUN425
GCA_030565145.1_ASM3056514v1,Candida parachauliodes,CBS 13928,PRJNA736342,1618059,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida parachauliodes,fFUN426
GCF_000182765.1_ASM18276v2,Candida parapsilosis,CDC317,PRJEA32889,5480,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida parapsilosis,fCPAR2
GCF_024610245.1_ASM2461024v1,Candida pseudojiufengensis,CBS 10847,PRJNA726922,497109,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida pseudojiufengensis,fKGF55
GCA_030565125.1_ASM3056512v1,Candida pseudoviswanathii (nom. inval.),CBS 13916,PRJNA736342,2861751,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida pseudoviswanathii (nom. inval.),fFUN427
GCA_030569255.1_ASM3056925v1,Candida sakaeoensis (nom. inval.),CBS 12318,PRJNA736342,1217582,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida sakaeoensis (nom. inval.),fFUN428
GCA_911254575.1_Wolfe_Cansan,Candida sanyaensis,UCD423,PRJEB46370,1176388,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida sanyaensis,fFUN429
GCA_013177575.1_ASM1317757v1,Candida sojae,NCYC-2607,PRJNA596050,52253,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida sojae,fFUN430
GCA_001005365.1_ASM100536v1,Candida sp. LDI48194,LDI48194,PRJNA282657,1759314,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida sp. LDI48194,fFUN431
GCA_019280635.1_ASM1928063v1,Candida sp. LN1,LN1,PRJNA576123,2653477,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida sp. LN1,fF9X54
GCA_023629255.1_ASM2362925v1,Candida sp. PB3310,PB3310,PRJNA833221,2939559,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida sp. PB3310,fFUN432
GCA_037042315.1_ASM3704231v1,Candida sp. Y128-05C,Y128-05C,PRJNA833221,3092746,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida sp. Y128-05C,fFUN433
GCA_037042355.1_ASM3704235v1,Candida sp. Y128-05E,Y128-05E,PRJNA833221,3092747,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida sp. Y128-05E,fFUN434
GCA_030557055.1_ASM3055705v1,Candida tetrigidarum,NRRL Y-48142,PRJNA736342,434046,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida tetrigidarum,fFUN435
GCF_024610275.1_ASM2461027v1,Candida theae,CBS 12239,PRJNA726928,1198502,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida theae,fKGF57
GCF_000006335.3_ASM633v3,Candida tropicalis MYA-3404,MYA-3404,PRJNA13675;PRJNA176382,294747,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida tropicalis,fCTRG
GCA_947670415.1_canVerA,Candida verbasci,,PRJEB56292,1227364,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida verbasci,fFUN436
GCA_030555925.1_ASM3055592v1,Candida xiaguanensis,CBS 13923,PRJNA736342,1586249,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Candida,Candida xiaguanensis,fFUN437
GCA_004126415.1_ASM412641v1,Candolleomyces aberdarensis,IHI B618,PRJNA516162,2316362,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces aberdarensis,fEST38
GCA_027579765.1_Candolleomyces_efflorescens_reassembly_enz,Candolleomyces efflorescens,VT131,PRJNA805058,2917767,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces efflorescens,fMD484
GCA_027579435.1_Candolleomyces_eurysporus_reassembly_enz,Candolleomyces eurysporus,VTCC 930004,PRJNA647680,2828524,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces eurysporus,fH1R20
GCF_015039405.1_Cananz1,Cantharellus anzutake,C23,PRJNA245611,1750568,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Cantharellaceae,Cantharellus,Cantharellus anzutake,fEI90
GCA_003314235.1_ASM331423v1,Cantharellus cinnabarinus,MG28,PRJNA454572,57193,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Cantharellaceae,Cantharellus,Cantharellus cinnabarinus,fFUN438
GCA_025174535.1_ASM2517453v1,Cantharellus purpuraceus,GAF-M-20071601,PRJNA815479,2926464,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Cantharellaceae,Cantharellus,Cantharellus purpuraceus,fMOF60
GCA_016630905.1_ASM1663090v1,Capillidium heterosporum,CGMCC 3.15857,PRJNA575207,1167838,fungi,Zoopagomycota,,Entomophthoromycetes,,Entomophthorales,Ancylistaceae,Capillidium,Capillidium heterosporum,fF8M70
GCA_037055185.1_ASM3705518v1,Capillidium rhysosporum,ATCC 12588,PRJNA1030606,181046,fungi,Zoopagomycota,,Entomophthoromycetes,,Entomophthorales,Ancylistaceae,Capillidium,Capillidium rhysosporum,fR3W91
